Organization Name,Attention,Address Line 1,Address Line 2,Address City,Address State,Address Zip,Addressee Email (if any),addressee phone number (if any),Type of Organization,Priority,Distance from Sterling VA (miles),Date of Shipping,Status,Comments
Stafford County Sheriff's Office,Training / Emergency Operations,P.O. Box 189,,Stafford,VA,22555,,,Sheriff,9,,,Not Sent,
Spotsylvania County Sheriff's Office,Training / Emergency Operations,P.O. Box 124,,Spotsylvania,VA,22553,,,Sheriff,9,,,Not Sent,
Frederick County MD Sheriff's Office,Training / Patrol,110 Airport Drive East,,Frederick,MD,21701,,,Sheriff,9,,,Not Sent,
Washington County MD Sheriff's Office,Patrol / Training,500 Western Maryland Parkway,,Hagerstown,MD,21740,,,Sheriff,9,,,Not Sent,
Carroll County MD Sheriff's Office,Training / Patrol,100 N. Court Street,,Westminster,MD,21157,,,Sheriff,9,,,Not Sent,
Rockingham County Sheriff's Office,Patrol / SAR / Training,25 S. Liberty Street,,Harrisonburg,VA,22801,,,Sheriff,9,,,Not Sent,
Augusta County Sheriff's Office,Patrol / Search & Rescue,P.O. Box 860,,Verona,VA,24482,,,Sheriff,9,,,Not Sent,
Greene County Sheriff's Office,Patrol / SAR,10005 Spotswood Trail,,Stanardsville,VA,22973,,,Sheriff,9,,,Not Sent,
Madison County Sheriff's Office,Patrol / SAR,P.O. Box 322,,Madison,VA,22727,,,Sheriff,9,,,Not Sent,
Albemarle County Sheriff's Office,Training / Field Operations,411 E. High Street,Bldg. B,Charlottesville,VA,22902,,,Sheriff,9,,,Not Sent,
Texas Motorized Trails Coalition (TMTC),,PO Box 1191,,Odessa,TX,79760,contact@texasmotorizedtrails.com,(432) 332-1571,Club,10,1483,,Not Sent,
New Mexico Off Highway Vehicle Alliance (NMOHVA),"Roger Pattison, President",PO Box 23341,,Santa Fe,NM,87502-3341,,,Club,10,1578,,Not Sent,
Treasure State ATV Association / Rimrock Trail Riders,,PO Box 32055,,Billings,MT,59107,,,Club,10,1641,,Not Sent,
Arizona State Association of Four Wheel Drive Clubs,,PO Box 1492,,Cortaro,AZ,85652-1492,,,Club,10,1932,,Not Sent,
Nelson County Sheriff's Office,Patrol / SAR,P.O. Box 36,,Lovingston,VA,22949,,,Sheriff,10,,,Not Sent,
Highland County Sheriff's Office,Patrol / SAR,P.O. Box 485,,Monterey,VA,24465,,,Sheriff,10,,,Not Sent,
Allegany County MD Sheriff's Office,Patrol / Training / SAR,695 Kelly Road,,Cumberland,MD,21502,,,Sheriff,10,,,Not Sent,
Garrett County Sheriff's Office,Patrol / SAR / Training,311 East Alder Street,,Oakland,MD,21550,,,Sheriff,10,,,Not Sent,
Virginia State Police — Area 10,Area Commander / Training,41904 Loudoun Center Place,,Leesburg,VA,20175,,,State Police,10,,,Not Sent,
Virginia State Police — Division 7 HQ,Field Operations / Training,4977 Alliance Drive,,Fairfax,VA,22030,,,State Police,10,,,Not Sent,
Virginia State Police — Area 9,Area Commander / Training,9801 Braddock Road,,Fairfax,VA,22032,,,State Police,10,,,Not Sent,
Virginia State Police — Area 45,Area Commander / Training,1426 Columbia Pike,,Arlington,VA,22204,,,State Police,10,,,Not Sent,
Virginia State Police — Area 11,Area Commander / Training,14420 Independent Hill Drive,,Manassas,VA,20112,,,State Police,10,,,Not Sent,
Virginia State Police — Area 12,Area Commander / Training,8440 Bingham Road,,Warrenton,VA,20187,,,State Police,10,,,Not Sent,
Maryland State Police — Rockville Barrack N,Barrack Commander / Training,7915 Montrose Road,,Rockville,MD,20854,,,State Police,10,,,Not Sent,
Virginia State Police — Area 13,Area Commander / Training,3680 Valley Pike,,Winchester,VA,22602,,,State Police,10,,,Not Sent,
West Virginia State Police — Troop 2 HQ,Field Operations / Training,409 Industrial Boulevard,,Kearneysville,WV,25430-2779,,,State Police,10,,,Not Sent,
West Virginia State Police — Martinsburg,Detachment Commander / Training,14 Trooper Drive,,Martinsburg,WV,25404-3798,,,State Police,10,,,Not Sent,
West Virginia State Police — Berkeley Springs,Detachment Commander / Training,1750 Valley Road,,Berkeley Springs,WV,25411-4804,,,State Police,10,,,Not Sent,
Virginia State Police — Area 14,Area Commander / Training,18627 Old Valley Pike,,Edinburg,VA,22824,,,State Police,10,,,Not Sent,
Virginia State Police — Division 2 HQ,Field Operations / Training,15148 State Police Road,,Culpeper,VA,22701,,,State Police,10,,,Not Sent,
Virginia State Police — Area 15,Area Commander / Training,15139 State Police Road,,Culpeper,VA,22701,,,State Police,10,,,Not Sent,
Virginia State Police — Area 5,Area Commander / Training,3804 Loren Drive,,Fredericksburg,VA,22408,,,State Police,10,,,Not Sent,
Maryland State Police — Frederick Barrack B,Barrack Commander / Training,110 Airport Drive East,,Frederick,MD,21701,,,State Police,10,,,Not Sent,
Maryland State Police — Hagerstown Barrack O,Barrack Commander / Training,18345 Col. Henry K. Douglas Drive,,Hagerstown,MD,21740,,,State Police,10,,,Not Sent,
Maryland State Police — Westminster Barrack G,Barrack Commander / Training,1100 Baltimore Boulevard,,Westminster,MD,21157,,,State Police,10,,,Not Sent,
Virginia State Police — Area 16,Area Commander / Training,801 Acorn Drive,,Harrisonburg,VA,22802,,,State Police,10,,,Not Sent,
Virginia State Police — Area 17,Area Commander / Training,243 Woodrow Wilson Avenue,,Fishersville,VA,22939,,,State Police,10,,,Not Sent,
Virginia State Police — Area 18,Area Commander / Training,900 Natural Resources Drive,Suite 200,Charlottesville,VA,22903-0758,,,State Police,10,,,Not Sent,
West Virginia State Police — Romney,Detachment Commander,525 Depot Street,,Romney,WV,26757-1300,,,State Police,10,,,Not Sent,
West Virginia State Police — Moorefield,Detachment Commander,5153 US 220 South,,Moorefield,WV,26836,,,State Police,10,,,Not Sent,
West Virginia State Police — Franklin,Detachment Commander,3825 Blue Gray Trail,,Franklin,WV,26807-0278,,,State Police,10,,,Not Sent,
Maryland State Police — Cumberland Barrack C,Barrack Commander / Training,1125 National Highway,,Cumberland,MD,21502-3401,,,State Police,10,,,Not Sent,
Maryland State Police — McHenry Barrack W,Barrack Commander / Training,67 Friendsville Road,,McHenry,MD,21541,,,State Police,10,,,Not Sent,
West Virginia State Police — Keyser,Detachment Commander,7300 Fort Ashby Road,,Keyser,WV,26726-9123,,,State Police,10,,,Not Sent,
West Virginia State Police — Troop 3 HQ,Field Operations / Training,5190 Beverly Pike,,Beverly,WV,26253,,,State Police,10,,,Not Sent,
West Virginia State Police — Parsons,Detachment Commander,9105 Seneca Trail,,Hambleton,WV,26269,,,State Police,10,,,Not Sent,
West Virginia State Police — Buckhannon,Detachment Commander,20 B-U Drive,,Buckhannon,WV,26201,,,State Police,10,,,Not Sent,
Virginia State Police — Area 39,Area Commander / Training,3861 S. Lee Highway,,Natural Bridge,VA,24578,,,State Police,10,,,Not Sent,
